character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
的,"白, 勹, 丶","Possessive, adjectival suffix, mark, target, object","de, dī, dí, dì","的
├── 白
└── 勺
    ├── 勹
    └── 丶",⿰白⿹勹丶,① somebody who clearly 白 has his arms wrapped 勺 around something  possesses it; he has it's place clearly marked in his mind,標,,,1
一,⼀,"One, a, an, alone",yī,一,⼀,① one thing 一; ancient form 弌," 壱 甲; 侖 俞 𠮛 令 弐 武 戸 至 百; pt.: heaven 天; earth, ground, place: 氐 亟 旦 𣄼 亘 上 土 士 丘 不 干 互 昼",,,2
不,"一, ⼃, ⼘","No, not; un-; negative prefix",bù,"不
├── 丆
│   ├── 一
│   └── 丿
└── 卜",⿱一⿰⼃⼘,"① person spreading arms in objection  → 不 ② lit. bird flying under the sky 一 and not coming down  → 不 ③ newborn bird flapping its wings, it will not fly to the sky 一, the result is negative for flying ④ the roots of a plant  → 不: the roots can not be pulled out", 非 無; 杯 否,,,3
是,"日, 一, 龰","Indeed, yes, right, to be, demonstrative pronoun, this, that",shì,"是
├── 日
└── 𤴓
    ├── 一
    └── 龰
        └── 止",⿱日⿱一龰,① a just person 𤴓 doing things in broad daylight 日, 提 堤 題; 显; 観; 端 宜,,,4
了,"乛, 亅","Finish, particle of completed action","le, liǎo, liào","了
├── ㇇
└── 亅",⿱乛亅,"① baby 子 without supporting arm 一: a life coming to fruition, one doesn't need to be supported anymore",卒 完 終; 悟; 蒸,,,5
人,⼈,"Man, people, mankind, someone else, rad. 9",rén,人,⼈,① person standing wide legged → 人," 儿 耂 尸 方 者 ⺼ 手 名 口  夸 漢 彦 郎 夫 男; 兵 黄 只
",,,6
在,土,"Exist, be at, in, on; consist in, rest",zài,"在
├── 𠂇
│   └── 十
└── 37321
    ├── 亻
    └── 土",⿸&CDP-88F1;土,① something pierced through 才 stays at the same place 土:  → 在, 有 存 居; 郷,,,7
有,"丿, 一, 月","Have, own, possess, exist",yǒu,"有
├── 𠂇
│   └── 十
└── 月",⿸⿻丿一月,① hand 𠂇 holding something for months 月 or hand 𠂇 holding something close to the body ⺼: one possesses it ② a hand 𠂇 holding a piece of flesh ⺼: he owns the flesh that exists, 存 在 居; 持; 髄 随 堕 賄,,,8
我,"手, 戈","Our, us, i, me, my, we",wǒ,"我
├── 手
└── 戈",⿰手戈,① hand 手 holding a spear 戈 (and a hanging banner 𠄒): he can defend his own people, 厶 自 僕 個 私 吾 己; 弊; 義 餓 ,,,9
他,"亻, 也","Other, another, he, she, it",tā,"他
├── 亻
└── 也
    ├── 乚
    └── 37387
        ├── ㇆
        └── 丨",⿰亻也,① a full grown person 亻 can't live in the womb 也; he 亻 or she 也,外,,,10
这,"辶, 文","This, these, crawl, trail",zhè,"这
├── 辶
└── 文",⿺辶文,① when travelling ⻌ (crawling along the trail) one sees something (culture 文) along the way and talks 言 about it,,,,11
