character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank,Hán Việt,Nghĩa
的,"白, 勹, 丶","Possessive, adjectival suffix, mark, target, object","de, dī, dí, dì","的
├── 白
└── 勺
    ├── 勹
    └── 丶",⿰白⿹勹丶,① somebody who clearly 白 has his arms wrapped 勺 around something  possesses it; he has it's place clearly marked in his mind,標,,,1,đích|để," 1. Thấy rõ, lộ ra ngoài. Như tiểu nhân chi đạo, đích nhiên nhi nhật vong 小人之道，的然而日亡 (Lễ Ký 禮記) đạo kẻ tiểu nhân bề ngoài rõ vậy mà ngày mất dần đi. <br>2. Ðích thực, đích xác. <br>3. Cái đích để tập bắn, bắn phải có đích để ngắm, người phải có chí hướng về một cái gì rồi mới có đường mà tiến, nên gọi cái chỗ chí mình muốn tới là mục đích 目的. <br>4. Ðấy, dùng làm trợ từ. Như hảo đích 好的 tốt đấy (dùng làm trợ từ đọc là chữ để).<br>"
一,⼀,"One, a, an, alone",yī,一,⼀,① one thing 一; ancient form 弌," 壱 甲; 侖 俞 𠮛 令 弐 武 戸 至 百; pt.: heaven 天; earth, ground, place: 氐 亟 旦 𣄼 亘 上 土 士 丘 不 干 互 昼",,,2,nhất," 1. Một, là số đứng đầu các số đếm. Phàm vật gì chỉ có một đều gọi là Nhất cả.<br>2. Cùng. Như sách Trung Dung 中庸 nói. Cập kì thành công nhất dã 及其成工一也 nên công cùng như nhau vậy. <br>3. Dùng về lời nói hoặc giả thế chăng. Như vạn nhất 萬一 muôn một, nhất đán 一旦 một mai, v.v. <br>4. Bao quát hết thẩy. Như nhất thiết 一切 hết thẩy, nhất khái 一概 một mực như thế cả, v.v. <br>5. Chuyên môn về một mặt. Như nhất vị 一味 một mặt, nhất ý 一意 một ý, v.v.<br>"
不,"一, ⼃, ⼘","No, not; un-; negative prefix",bù,"不
├── 丆
│   ├── 一
│   └── 丿
└── 卜",⿱一⿰⼃⼘,"① person spreading arms in objection  → 不 ② lit. bird flying under the sky 一 and not coming down  → 不 ③ newborn bird flapping its wings, it will not fly to the sky 一, the result is negative for flying ④ the roots of a plant  → 不: the roots can not be pulled out", 非 無; 杯 否,,,3,bất|phầu|phủ|phi," 1. Chẳng. Như bất khả 不可 không thể, bất nhiên 不然 chẳng thế, v.v. <br>2. Một âm là phầu. Là nhời nói lưỡng lự chưa quyết hẳn. Như đương phục như thử phầu 當復如此不 sẽ lại như thế chăng ? Cũng đọc là chữ phủ. <br>3. Một âm là phi. Lớn. Như phi hiển tai văn vương mô 不顯哉文王謀 cả rõ rệt thay mưu vua Văn Vương.<br>"
是,"日, 一, 龰","Indeed, yes, right, to be, demonstrative pronoun, this, that",shì,"是
├── 日
└── 𤴓
    ├── 一
    └── 龰
        └── 止",⿱日⿱一龰,① a just person 𤴓 doing things in broad daylight 日, 提 堤 題; 显; 観; 端 宜,,,4,thị," 1. Phải, điều gì ai cũng công nhận là phải gọi là thị. Cái phương châm của chánh trị gọi là quốc thị 國是. <br>2. Ấy thế, lời nói chỉ định như như thị 如是 như thế.<br>"
了,"乛, 亅","Finish, particle of completed action","le, liǎo, liào","了
├── ㇇
└── 亅",⿱乛亅,"① baby 子 without supporting arm 一: a life coming to fruition, one doesn't need to be supported anymore",卒 完 終; 悟; 蒸,,,5,liễu, 1. Hiểu biết. Như liễu nhiên ư tâm 了然於心 lòng đã hiểu biết. <br>2. Xong. Như liễu sự 了事 xong việc.<br>
人,⼈,"Man, people, mankind, someone else, rad. 9",rén,人,⼈,① person standing wide legged → 人," 儿 耂 尸 方 者 ⺼ 手 名 口  夸 漢 彦 郎 夫 男; 兵 黄 只
",,,6,nhân," 1. Người, giống khôn nhất trong loài động vật. <br>2. Tiếng đối lại với mình. Như tha nhân 他人 người khác, chúng nhân 眾人 mọi người, vô nhân ngã chi kiến 無人我之見 không có phân biệt mình với người, v.v. thấu được nghĩa này, trong đạo Phật cho là bực tu được nhân không 人空.<br>"
在,土,"Exist, be at, in, on; consist in, rest",zài,"在
├── 𠂇
│   └── 十
└── 37321
    ├── 亻
    └── 土",⿸&CDP-88F1;土,① something pierced through 才 stays at the same place 土:  → 在, 有 存 居; 郷,,,7,tại," 1. Ở. Như tại hạ vị nhi bất ưu 在下位而不憂 ở ngôi dưới mà chẳng lo. <br>2. Còn. Như phụ mẫu tại bất viễn du 父母在不遠遊 cha mẹ còn sống không chơi xa. <br>3. Nhời trợ ngữ, chỉ vào chỗ nào gọi là tại. Như tại chỉ ư chí thiện 在止於至善 ở hẳn vào nơi chí-thiện.<br>"
有,"丿, 一, 月","Have, own, possess, exist",yǒu,"有
├── 𠂇
│   └── 十
└── 月",⿸⿻丿一月,① hand 𠂇 holding something for months 月 or hand 𠂇 holding something close to the body ⺼: one possesses it ② a hand 𠂇 holding a piece of flesh ⺼: he owns the flesh that exists, 存 在 居; 持; 髄 随 堕 賄,,,8,hữu|dựu, 1. Có. <br>2. Lấy được. <br>3. Ðầy đủ. <br>4. Lời nói trợ từ. Như nhà Ngu gọi là hữu Ngu 有虞. <br>5. Một âm là dựu. Như thập dựu ngũ niên 十有五年 lại 15 năm.<br>
我,"手, 戈","Our, us, i, me, my, we",wǒ,"我
├── 手
└── 戈",⿰手戈,① hand 手 holding a spear 戈 (and a hanging banner 𠄒): he can defend his own people, 厶 自 僕 個 私 吾 己; 弊; 義 餓 ,,,9,ngã," 1. Ta (tiếng tự xưng mình). <br>2. Mình tự gọi mình cũng gọi là ngã. <br>3. Của ta, lời nói cho thân thêm. Như ngã huynh 我兄, anh của ta, ngã đệ 我弟 em của ta, v.v. <br>4. Ý riêng ta. Như vô ngã 無我 đừng cứ ý riêng ta, cố chấp ý kiến của mình gọi là ngã chấp 我執.<br>"
他,"亻, 也","Other, another, he, she, it",tā,"他
├── 亻
└── 也
    ├── 乚
    └── 37387
        ├── ㇆
        └── 丨",⿰亻也,① a full grown person 亻 can't live in the womb 也; he 亻 or she 也,外,,,10,tha," 1. Khác, là kẻ kia. Như tha nhân 他人 người khác, tha sự 他事 việc khác, v.v. <br>2. Lòng khác. Như chi tử thỉ mĩ tha 之死失靡他 thề đến chết chẳng hai lòng.<br>"
