// Food List 簡－繁 
面条	miàntiáo	Chinese noodles
炒面	chǎomiàn	Chow mein
汤面	tāngmiàn	Noodle soup
炸酱面	zhájiàngmiàn	Zhajiangmian
拉面	lamian	Lamian
米饭		White Rice
炒饭		Fried Rice
东坡肉	Dōngpō ròu	Braised pork
咕咾肉	gǔlǎoròu	sweet and meetha
回锅肉	huíguōròu	Twice cooked pork
叉烧	chāshāo	Char siu
皮蛋	pídàn	Century egg
鴨頭	yātóu	Duck's head
宫保鸡丁	gōngbǎo jīdīng	Kung Pao chicken
北京烤鸭	Běijīng kǎoyā	Peking Duck
卤蛋	lǔdàn	Soy egg
茶叶蛋	cháyèdàn	Tea egg
罗汉斋	luóhàn zhāi	Buddha's delight
酱菜	jiàngcài	Pickled vegetables
炖	dùn	Double steaming/double boiling
红烧	hóngshāo	Red cooking
包子	bāozǐ	Baozi
点心	diǎnxīn	Dim sum
锅贴	guōtiē	Guotie
饺子	jiǎozǐ	Jiaozi
馒头	mántóu	Mantou
餛飩	húntún	Wonton
小笼包	xiǎolóngbāo	Xiaolongbao
粽子	zòngzǐ	Zongzi
长寿包	chángshòubāo	Longevity buns
葱油饼	cōngyóubǐng	Cong you bing
月饼	yuèbǐng	Mooncake
沙琪玛	shāqímǎ	Sachima
烧饼	shāobǐng	Shaobing
油条	yóutiáo	Youtiao
粥	zhōu	Congee
酸辣汤	suānlàtāng	Hot and sour soup
火锅	huǒguō	Hot pot
糖水	tángshuǐ	Tong sui
八公山豆腐	bāgōngshān dòufǔ	Bang Tofu
明珠酥鲍	míngzhū sūbào	Bright Pearl Abalone
虫草炖老鸭	chóngcǎo dùn lǎoyā	Caterpillar Fungus Duck
蟹连鱼肚	xièlián yúdù	Crab and Fish Stomachs
海棠酥	hǎitángsū	Crab-apple Flower Cake
干锅素肉	gānguō sùròu	Dried Pot Tofu
五彩鱼片	wǔcǎi yúpiàn	Five Colours Fish Cake
花菇田鸡	huāgū tiánjī	Flower Mushroom Frog
南瓜蒸饺	nánguā zhēngjiǎo	Fried Pumpkin Dumplings
豆腐渣丸子	dòufǔzhā wánzi	Fried Tofu Curd Balls
符离集烧鸡	fúlíjí shāojī	Fuli Roast Chicken
姜母鸭	jiāng mǔyā	Ginger Duck
稻香排骨	dàoxiāng páigǔ	Hay Wrapped Fragrant Ribs
玉兔海参	yùtù hǎishēn	Jade Rabbit Sea Cucumber
莲蓬鱼	liánpéng yú	Lotus Seed Pod Fish
