# Kangxi Radicals
2F00	 ⼀ 	KANGXI RADICAL ONE	• Kangxi Radical 1	≈ 4E00 一
2F01	 ⼁ 	KANGXI RADICAL LINE	• Kangxi Radical 2	≈ 4E28 丨
2F02	 ⼂ 	KANGXI RADICAL DOT	• Kangxi Radical 3	≈ 4E36 丶
2F03	 ⼃ 	KANGXI RADICAL SLASH	• Kangxi Radical 4	≈ 4E3F 丿
2F04	 ⼄ 	KANGXI RADICAL SECOND	• Kangxi Radical 5	≈ 4E59 乙
2F05	 ⼅ 	KANGXI RADICAL HOOK	• Kangxi Radical 6	≈ 4E85 亅
2F06	 ⼆ 	KANGXI RADICAL TWO	• Kangxi Radical 7	≈ 4E8C 二
2F07	 ⼇ 	KANGXI RADICAL LID	• Kangxi Radical 8	≈ 4EA0 亠
2F08	 ⼈ 	KANGXI RADICAL MAN	• Kangxi Radical 9	≈ 4EBA 人
2F09	 ⼉ 	KANGXI RADICAL LEGS	• Kangxi Radical 10	≈ 513F 儿
2F0A	 ⼊ 	KANGXI RADICAL ENTER	• Kangxi Radical 11	≈ 5165 入
2F0B	 ⼋ 	KANGXI RADICAL EIGHT	• Kangxi Radical 12	≈ 516B 八
2F0C	 ⼌ 	KANGXI RADICAL DOWN BOX	• Kangxi Radical 13	≈ 5182 冂
2F0D	 ⼍ 	KANGXI RADICAL COVER	• Kangxi Radical 14	≈ 5196 冖
2F0E	 ⼎ 	KANGXI RADICAL ICE	• Kangxi Radical 15	≈ 51AB 冫
2F0F	 ⼏ 	KANGXI RADICAL TABLE	• Kangxi Radical 16	≈ 51E0 几
2F10	 ⼐ 	KANGXI RADICAL OPEN BOX	• Kangxi Radical 17	≈ 51F5 凵
2F11	 ⼑ 	KANGXI RADICAL KNIFE	• Kangxi Radical 18	≈ 5200 刀
2F12	 ⼒ 	KANGXI RADICAL POWER	• Kangxi Radical 19	≈ 529B 力
2F13	 ⼓ 	KANGXI RADICAL WRAP	• Kangxi Radical 20	≈ 52F9 勹
2F14	 ⼔ 	KANGXI RADICAL SPOON	• Kangxi Radical 21	≈ 5315 匕
2F15	 ⼕ 	KANGXI RADICAL RIGHT OPEN BOX	• Kangxi Radical 22	≈ 531A 匚
2F16	 ⼖ 	KANGXI RADICAL HIDING ENCLOSURE	• Kangxi Radical 23	≈ 5338 匸
2F17	 ⼗ 	KANGXI RADICAL TEN	• Kangxi Radical 24	≈ 5341 十
2F18	 ⼘ 	KANGXI RADICAL DIVINATION	• Kangxi Radical 25	≈ 535C 卜
2F19	 ⼙ 	KANGXI RADICAL SEAL	• Kangxi Radical 26	≈ 5369 卩
2F1A	 ⼚ 	KANGXI RADICAL CLIFF	• Kangxi Radical 27	≈ 5382 厂
2F1B	 ⼛ 	KANGXI RADICAL PRIVATE	• Kangxi Radical 28	≈ 53B6 厶
2F1C	 ⼜ 	KANGXI RADICAL AGAIN	• Kangxi Radical 29	≈ 53C8 又
2F1D	 ⼝ 	KANGXI RADICAL MOUTH	• Kangxi Radical 30	≈ 53E3 口
2F1E	 ⼞ 	KANGXI RADICAL ENCLOSURE	• Kangxi Radical 31	≈ 56D7 囗
2F1F	 ⼟ 	KANGXI RADICAL EARTH	• Kangxi Radical 32	≈ 571F 土
2F20	 ⼠ 	KANGXI RADICAL SCHOLAR	• Kangxi Radical 33	≈ 58EB 士
2F21	 ⼡ 	KANGXI RADICAL GO	• Kangxi Radical 34	≈ 5902 夂
2F22	 ⼢ 	KANGXI RADICAL GO SLOWLY	• Kangxi Radical 35	≈ 590A 夊
2F23	 ⼣ 	KANGXI RADICAL EVENING	• Kangxi Radical 36	≈ 5915 夕
2F24	 ⼤ 	KANGXI RADICAL BIG	• Kangxi Radical 37	≈ 5927 大
2F25	 ⼥ 	KANGXI RADICAL WOMAN	• Kangxi Radical 38	≈ 5973 女
2F26	 ⼦ 	KANGXI RADICAL CHILD	• Kangxi Radical 39	≈ 5B50 子
2F27	 ⼧ 	KANGXI RADICAL ROOF	• Kangxi Radical 40	≈ 5B80 宀
2F28	 ⼨ 	KANGXI RADICAL INCH	• Kangxi Radical 41	≈ 5BF8 寸
2F29	 ⼩ 	KANGXI RADICAL SMALL	• Kangxi Radical 42	≈ 5C0F 小
2F2A	 ⼪ 	KANGXI RADICAL LAME	• Kangxi Radical 43	→ 21BC1 𡯁	≈ 5C22 尢
2F2B	 ⼫ 	KANGXI RADICAL CORPSE	• Kangxi Radical 44	≈ 5C38 尸
2F2C	 ⼬ 	KANGXI RADICAL SPROUT	• Kangxi Radical 45	≈ 5C6E 屮
2F2D	 ⼭ 	KANGXI RADICAL MOUNTAIN	• Kangxi Radical 46	≈ 5C71 山
2F2E	 ⼮ 	KANGXI RADICAL RIVER	• Kangxi Radical 47	≈ 5DDB 巛
2F2F	 ⼯ 	KANGXI RADICAL WORK	• Kangxi Radical 48	≈ 5DE5 工
2F30	 ⼰ 	KANGXI RADICAL ONESELF	• Kangxi Radical 49	≈ 5DF1 己
2F31	 ⼱ 	KANGXI RADICAL TURBAN	• Kangxi Radical 50	≈ 5DFE 巾
2F32	 ⼲ 	KANGXI RADICAL DRY	• Kangxi Radical 51	≈ 5E72 干
2F33	 ⼳ 	KANGXI RADICAL SHORT THREAD	• Kangxi Radical 52	≈ 5E7A 幺
2F34	 ⼴ 	KANGXI RADICAL DOTTED CLIFF	• Kangxi Radical 53	≈ 5E7F 广
2F35	 ⼵ 	KANGXI RADICAL LONG STRIDE	• Kangxi Radical 54	≈ 5EF4 廴
2F36	 ⼶ 	KANGXI RADICAL TWO HANDS	• Kangxi Radical 55	≈ 5EFE 廾
2F37	 ⼷ 	KANGXI RADICAL SHOOT	• Kangxi Radical 56	≈ 5F0B 弋
2F38	 ⼸ 	KANGXI RADICAL BOW	• Kangxi Radical 57	≈ 5F13 弓
2F39	 ⼹ 	KANGXI RADICAL SNOUT	• Kangxi Radical 58	≈ 5F50 彐
2F3A	 ⼺ 	KANGXI RADICAL BRISTLE	• Kangxi Radical 59	≈ 5F61 彡
2F3B	 ⼻ 	KANGXI RADICAL STEP	• Kangxi Radical 60	≈ 5F73 彳
2F3C	 ⼼ 	KANGXI RADICAL HEART	• Kangxi Radical 61	≈ 5FC3 心
2F3D	 ⼽ 	KANGXI RADICAL HALBERD	• Kangxi Radical 62	≈ 6208 戈
2F3E	 ⼾ 	KANGXI RADICAL DOOR	• Kangxi Radical 63	≈ 6236 戶
2F3F	 ⼿ 	KANGXI RADICAL HAND	• Kangxi Radical 64	≈ 624B 手
2F40	 ⽀ 	KANGXI RADICAL BRANCH	• Kangxi Radical 65	≈ 652F 支
2F41	 ⽁ 	KANGXI RADICAL RAP	• Kangxi Radical 66	≈ 6534 攴
2F42	 ⽂ 	KANGXI RADICAL SCRIPT	• Kangxi Radical 67	≈ 6587 文
2F43	 ⽃ 	KANGXI RADICAL DIPPER	• Kangxi Radical 68	≈ 6597 斗
2F44	 ⽄ 	KANGXI RADICAL AXE	• Kangxi Radical 69	≈ 65A4 斤
2F45	 ⽅ 	KANGXI RADICAL SQUARE	• Kangxi Radical 70	≈ 65B9 方
2F46	 ⽆ 	KANGXI RADICAL NOT	• Kangxi Radical 71	≈ 65E0 无
2F47	 ⽇ 	KANGXI RADICAL SUN	• Kangxi Radical 72	≈ 65E5 日
2F48	 ⽈ 	KANGXI RADICAL SAY	• Kangxi Radical 73	≈ 66F0 曰
2F49	 ⽉ 	KANGXI RADICAL MOON	• Kangxi Radical 74	≈ 6708 月
2F4A	 ⽊ 	KANGXI RADICAL TREE	• Kangxi Radical 75	≈ 6728 木
2F4B	 ⽋ 	KANGXI RADICAL LACK	• Kangxi Radical 76	≈ 6B20 欠
2F4C	 ⽌ 	KANGXI RADICAL STOP	• Kangxi Radical 77	≈ 6B62 止
2F4D	 ⽍ 	KANGXI RADICAL DEATH	• Kangxi Radical 78	≈ 6B79 歹
2F4E	 ⽎ 	KANGXI RADICAL WEAPON	• Kangxi Radical 79	≈ 6BB3 殳
2F4F	 ⽏ 	KANGXI RADICAL DO NOT	• Kangxi Radical 80	≈ 6BCB 毋
2F50	 ⽐ 	KANGXI RADICAL COMPARE	• Kangxi Radical 81	≈ 6BD4 比
2F51	 ⽑ 	KANGXI RADICAL FUR	• Kangxi Radical 82	≈ 6BDB 毛
2F52	 ⽒ 	KANGXI RADICAL CLAN	• Kangxi Radical 83	≈ 6C0F 氏
2F53	 ⽓ 	KANGXI RADICAL STEAM	• Kangxi Radical 84	≈ 6C14 气
2F54	 ⽔ 	KANGXI RADICAL WATER	• Kangxi Radical 85	≈ 6C34 水
2F55	 ⽕ 	KANGXI RADICAL FIRE	• Kangxi Radical 86	≈ 706B 火
2F56	 ⽖ 	KANGXI RADICAL CLAW	• Kangxi Radical 87	≈ 722A 爪
2F57	 ⽗ 	KANGXI RADICAL FATHER	• Kangxi Radical 88	≈ 7236 父
2F58	 ⽘ 	KANGXI RADICAL DOUBLE X	• Kangxi Radical 89	≈ 723B 爻
2F59	 ⽙ 	KANGXI RADICAL HALF TREE TRUNK	• Kangxi Radical 90	≈ 723F 爿
2F5A	 ⽚ 	KANGXI RADICAL SLICE	• Kangxi Radical 91	≈ 7247 片
2F5B	 ⽛ 	KANGXI RADICAL FANG	• Kangxi Radical 92	≈ 7259 牙
